rescind,"To repeal, annul, or declare void; to take (something such as a rule or contract) out of effect."
dictate,An order or command.
benefactor,"Somebody who gives a gift, often money to a charity."
clamor,A great outcry or vociferation; loud and continued shouting or exclamation.
incessant,"Without pause or stop; not ending, especially to the point of annoyance."
miserliness,The property of being miserly.
daunting,"To discourage, intimidate."
abscission,The act or process of cutting off.
arduous,Needing or using up much energy; testing powers of endurance.
confound,A confounding variable.
indemnify,To secure against loss or damage; to insure.
morbid,"Of, or relating to disease."
fastidious,"Excessively particular, demanding, or fussy about details, especially about tidiness and cleanliness."
scornful,Showing scorn or disrespect; contemptuous.
dissemble,To disguise or conceal something.
ingenuous,Naive and trusting.
proclaim,To announce or declare.
amiable,Friendly; kind; sweet; gracious
dissimilar,Not similar; unalike; different
peculate,To embezzle
bland,Having a soothing effect; not irritating or stimulating.
shun,"To avoid, especially persistently."
obviate,To anticipate and prevent or bypass (something which would otherwise have been necessary or required).
tortuous,Twisted; having many turns; convoluted.
benediction,"A short invocation for help, blessing and guidance from God, said on behalf of another person or persons (sometimes at the end of a church worship service)."
transgression,"A violation of a law, duty or commandment."
scathing,To injure or harm.
impair,To weaken; to affect negatively; to have a diminishing effect on.
ostensible,"Apparent, evident; meant for open display."
foresighted,Having foresight; foreseeing; provident.
evasive,Tending to avoid speaking openly or making revelations about oneself.
abstruse,Difficult to comprehend or understand.
disparate,(chiefly in the plural) Any of a group of unequal or dissimilar things.
abdicate,"To disclaim and expel from the family, as a father his child; to disown; to disinherit."
aphorism,"An original, laconic phrase conveying some principle or concept of thought."
diffusion,"The act of diffusing or dispersing something, or the property of being diffused or dispersed; dispersion."
incendiary,"Something capable of causing fire, particularly a weapon."
banal,"Common in a boring way, to the point of being predictable; containing nothing new or fresh."
rein,"A strap or rope attached to a bridle or bit, used to control a horse, animal or young child."
incipient,Beginner
antipathy,"A feeling of dislike (normally towards someone, less often towards something); repugnance or distaste."
defuse,"To remove the fuse from (a bomb, etc.)."
apathetic,Void of feeling; not susceptible of deep emotion
capricious,"Impulsive and unpredictable; determined by chance, impulse, or whim"
injudicious,Showing poor judgement; not well judged.
abhorrent,"Inconsistent with, or far removed from, something; strongly opposed"
adamant,An imaginary rock or mineral of impenetrable hardness; a name given to the diamond and other substances of extreme hardness.
persistent,Obstinately refusing to give up or let go.
novice,A beginner; one who is not very familiar or experienced in a particular subject.
refractory,"A material or piece of material, such as a brick, that has a very high melting point."
efface,To erase (as anything impressed or inscribed upon a surface); to render illegible or indiscernible.
slant,"A slope; an incline, inclination."
dispel,An act or instance of dispelling.
bravado,A swaggering show of defiance or courage.
aversion,Opposition or repugnance of mind; fixed dislike.
magnanimous,Noble and generous in spirit.
reactionary,One who is opposed to change.
partisan,An adherent to a party or faction.
ungainly,An ungainly person or thing.
drain,A conduit allowing liquid to flow out of an otherwise contained volume; a plughole (UK)
flair,A natural or innate talent or aptitude.
irenic,"(in extended usage) Promoting or fitted to promote peace; conciliatory, non-confrontational; peaceful."
linger,"To stay or remain in a place or situation, especially as if unwilling to depart or not easily able to do so; to loiter."
disinterested,"Having no stake or interest in the outcome; free of bias, impartial."
facetious,Treating serious issues with (often deliberately) inappropriate humour; flippant.
equanimity,"The state of being calm, stable and composed, especially under stress."
primacy,"The state or condition of being prime or first, as in time, place, rank, etc."
abstemious,"Refraining from freely consuming food or strong drink; sparing in diet; abstinent, temperate."
truculent,Cruel or savage.
sidestep,A step to the side.
glean,A collection made by gleaning.
presumptuous,"Going beyond what is right, proper, or appropriate because of an excess of self-confidence or arrogance."
imperious,"Domineering, arrogant, or overbearing."
torpor,A state of being inactive or stuporous.
bleak,Without color; pale; pallid.
tenable,"(of a theory, argument, etc.) capable of being maintained or justified; well-founded"
harrowing,To drag a harrow over; to break up with a harrow.
limpid,"Clear, transparent or bright."
emanate,To come from a source; issue from.
baffling,"To publicly disgrace, especially of a recreant knight."
aloof,Reserved and remote; either physically or emotionally distant; standoffish.
anthropogenic,"Pertaining to the origin of man, or anthropogeny"
excoriate,To wear off the skin of; to chafe or flay.
abstain,Keep or withhold oneself.
fractious,Given to troublemaking.
debilitate,To make feeble; to weaken.
reside,To dwell permanently or for a considerable time; to have a settled abode for a time; to remain for a long time.
regurgitate,To throw up or vomit; to eject what has previously been swallowed.
valiant,"A person who acts with valor, showing hero-like characteristics in the midst of danger."
benevolent,Having a disposition to do good.
consonant,"A sound that results from the passage of air through restrictions of the oral cavity; any sound that is not the dominant sound of a syllable, the dominant sound generally being a vowel."
flout,The act by which something is flouted; violation of a law.
mar,A blemish.
endemic,An individual or species that is endemic to a region.
adduce,"To bring forward or offer, as an argument, passage, or consideration which bears on a statement or case; to cite; to allege."
snub,A deliberate affront or slight.
unfeeling,Without emotion or sympathy
outlandish,"Bizarre, strange"
revoke,The act of revoking in a game of cards.
vehement,Showing strong feelings; passionate; forceful or intense.
